id,collection_id,material_id,denomination_id,condition,year_created,length,width,description,link,numeric_value,extra_year,units
80d876ce-ec9c-47d1-82d3-eb9e9fe6dd18,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1998,140,61,unele lipicioase :(,https://en.numista.com/catalogue/note204595.html,1000,,8
b1454f8b-8d25-4631-8e3f-6070265876ac,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1998,145,64,,https://en.numista.com/catalogue/note204592.html,5000,,2
76344b89-3ea5-41fe-8198-08997e941351,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1999,150,67,,https://en.numista.com/catalogue/note202797.html,10000,,1
52916872-5fed-4508-b374-524476c88971,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1992,160,76,,https://en.numista.com/catalogue/note204438.html,500,,6
00f626d5-d42f-44f1-b9be-fa6794dda07c,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1991,157,75,,https://en.numista.com/catalogue/note205411.html,500,,1
7efc2c46-b957-4a29-9930-1f5e9c3e7afc,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1991,167,75,,https://en.numista.com/catalogue/note206889.html,1000,,1
e39967cf-e91d-4aac-9750-ba2339ae66f3,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1993,172,77,una e rea,https://en.numista.com/catalogue/note201963.html,5000,1992,3
5c5d6915-7ef1-4c62-b869-c72e85fdad74,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,08c0f8ac-ee32-459a-bed3-39f05ee86b32,VERY_GOOD,1994,180,77,,https://en.numista.com/catalogue/note206802.html,10000,,1
aa9eea62-4b67-461d-9f49-00beedaa46e7,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,7050a2a2-7637-400a-a749-d37473225693,VERY_GOOD,1937,125,70,rupta rau pe margini,https://en.numista.com/catalogue/note203658.html,2,,1
99a53dd2-8d6f-4f70-8c3f-63a902082095,d7717171-7fbd-45ad-887b-15874b0a0287,5dcaf339-a641-43d0-9eca-86051a601f5c,ca36fc6c-3b2e-4ea5-bebf-63620fcdc9c9,VERY_GOOD,1917,124,84,gaurita cu tigareta in dreptul semnaturii secretarului general,https://en.numista.com/catalogue/note202742.html,2,,1
