id,collection_id,material_id,denomination_id,condition,year_created,diameter,description,link,numeric_value,extra_year,units,weight,thickness
c5c04edd-aeac-429f-9bb7-d86aacb43412,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,bff9efaa-d39d-45af-84a2-e9344df3a003,3f7a1c9e-4b22-4e8f-9d1a-8c4e7b3f2a23,VERY_GOOD,1994,21.199999999999999,una e murdara,https://ro.ucoin.net/coin/hungary-5-forint-1992-2011/?tid=2682,5,1993,4,4.2000000000000002,1.3
5151d5a1-4981-4659-808d-53ed183b9fa0,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,1a7e9c2f-8a33-4d1f-9c7a-3e1b8f5d7c57,VERY_GOOD,1999,22.5,,https://ro.ucoin.net/coin/bulgaria-50-stotinki-1999-2002/?tid=13153,50,,5,5,1.7
73f69e15-5281-4f24-9a95-620c17adc955,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,26881eb4-2715-416e-b68d-d6559f5f5efe,b5e498c1-35b7-4785-a05a-3a02b01d6ea5,VERY_GOOD,2002,23.25,"in curs de deteriorare si e din zona Berlin (""A"")",https://ro.ucoin.net/coin/germany-1-euro-2021/?cid=158740,1,,2,7.5,2.3300000000000001
00839ca9-80fb-47d2-82a3-f985c6b6ab3e,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,c1109634-1155-497f-930b-b22ba5856cc7,8b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e19,VERY_GOOD,2009,18.75,una cam murdara,https://ro.ucoin.net/coin/austria-2-euro-cent-2002-2022/?tid=5,2,2008,2,3.0600000000000001,1.6699999999999999
c3b22f17-7b5c-4263-9b60-8a144f0e21cd,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,c1109634-1155-497f-930b-b22ba5856cc7,5c8e1f7a-2b44-4d9f-8c1e-7a5d3f9b2e25,VERY_GOOD,1983,19.25,zona Munchen,https://ro.ucoin.net/coin/germany-2-pfennig-1968-2001/?tid=5249,2,,4,2.8999999999999999,1.52
4170ffc7-ddc1-48c1-868d-7647c75432b8,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,c1109634-1155-497f-930b-b22ba5856cc7,8b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e19,VERY_GOOD,2009,16.25,,https://ro.ucoin.net/coin/spain-1-euro-cent-1999-2009/?tid=386,1,(2007-2009),4,2.2999999999999998,1.6699999999999999
cf1f73d5-2ec9-4e22-90ec-d4ea70226982,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,1c378483-96de-4276-b2cd-6dcefee47897,1c9f3e1a-3b55-4c8f-9d1e-8c2a7f4b5e48,VERY_GOOD,2009,21.050000000000001,,https://ro.ucoin.net/coin/switzerland-20-rappen-1939-2023/?tid=1102,20,1980,3,4,1.6499999999999999
eb556cfe-af3d-46e5-8da6-487caaeaad2d,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,aa38d7db-f4ab-427e-9062-56f0db822ebf,1b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e30,VERY_GOOD,1993,22.5,,https://ro.ucoin.net/coin/croatia-1-kuna-1993-2021/?tid=3690,1,1999-2007,3,5,1.7
fafa9147-b30e-46c2-8832-7ebe1a3f5f25,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,d81ecd25-8c5c-4f5c-a5b6-919b30ed7a8f,4e9f4c7a-1b55-4d8e-9f3c-7c1a5e8b9d33,VERY_GOOD,1989,25.800000000000001,inversate fetele pe galben (centru),https://ro.ucoin.net/coin/italy-500-lire-1989/?cid=9739,500,,1,6.7999999999999998,1.8
2f5fced8-d182-4e90-90ba-43ef0becbf56,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,2ec1702b-2625-41ae-b214-0845913dbd47,7c7e3c9f-4b22-4d8f-9c1a-5e8b7d3f2c54,VERY_GOOD,1990,17.5,,https://ro.ucoin.net/coin/denmark-25-ore-1990-2008/?tid=5545,25,2007,3,2.7999999999999998,1.55
b0b41072-1bd2-46a2-961b-c0e1a848158e,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,e78b342c-29c1-4407-be38-860adbc885bd,5a3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e52,VERY_GOOD,1987,22.5,una e murdara,https://ro.ucoin.net/coin/austria-1-schilling-1959-2001/?tid=7587,1,1991,2,4.2000000000000002,1.7
6ea93445-eb87-4caa-9712-dd97863183c1,5d48ccb9-98e2-439d-a47d-e4acb59c9f47,aa38d7db-f4ab-427e-9062-56f0db822ebf,1b3e1c7a-2b55-4d9f-8c1e-7a4d3f9b2e30,VERY_GOOD,2005,24.5,,https://ro.ucoin.net/coin/croatia-2-kune-1993-2019/?tid=3707,2,2017,2,6.2000000000000002,1.75
